name,sku,_type,visibility,_category,brands,description,specifications,features,image,price,short_description,weight,qty,_attribute_set,status,tax_class_id,is_in_stock,url_key,url_path,_store,_root_category,_product_websites,created_at,updated_at,options_container,has_options,required_options,size,small_image,thumbnail,use_config_qty_increments,qty_increments,_media_attribute_id,_media_image,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
Pride LC-805 Wall Hugger Lift ChairPride LC-805 Wall Hugger Lift Chair,LC805O,simple,4,Weel Cair,Pride Mobility,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  Pride&#x2019;s LC-805 is a 2-position, space-saving lift chair that delivers superb comfort and style, and is the perfect lift chair for tighter quarters. Requiring only 4&#x201D; of space between the wall and the chair for reclining, the LC-805 lift chair provides wonderful relaxation, even when space is at a premium.
</p>
<p>
  This model also features foam-filled arms for added comfort and a chaise pad for enhanced leg support. In addition, the LC-805 lift chair offers a reduced seat-to-floor height for easy accessibility.
</p>
<p>
  All Pride life chairs have a standard 9 volt battery. If user&#x2019;s home has a power failure and user is in the reclining position, the battery will allow user to still get out of the chair.
</p></div>
                                ","
        <h2>Specifications</h2>
                <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-specifications"">
            <span class=""glyphicon glyphicon-plus""></span>
        </button>
                <table class=""specifications mobile-specifications collapse collapsible"">
            
                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Weight Capacity</td>
                        <td class=""tdValue"">300 lbs.</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Product Weight</td>
                        <td class=""tdValue"">118 lbs.</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Seat Width</td>
                        <td class=""tdValue"">20&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Seat Depth</td>
                        <td class=""tdValue"">21&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Seat-to-Floor Height</td>
                        <td class=""tdValue"">19&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Overall Width</td>
                        <td class=""tdValue"">33.5&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Overall Length</td>
                        <td class=""tdValue"">38&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Overall Height</td>
                        <td class=""tdValue"">41&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Back Height</td>
                        <td class=""tdValue"">27&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Recommended User Height</td>
                        <td class=""tdValue"">5&apos;4&quot; - 6&apos;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Max Back Angle Reclined</td>
                        <td class=""tdValue"">135 degrees</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Required Distance From Wall</td>
                        <td class=""tdValue"">4&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Recline Type</td>
                        <td class=""tdValue"">Two Position</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Back Style</td>
                        <td class=""tdValue"">Split Back</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Chair Size</td>
                        <td class=""tdValue"">Large</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Warranty on Frame</td>
                        <td class=""tdValue"">Lifetime Limited</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Warranty on Electronics</td>
                        <td class=""tdValue"">Three Year Limited</td>
                    </tr>
                                    </table>
    ","
                                    <h2>Features</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-features"">
                                        <span class=""glyphicon glyphicon-minus""></span>
                                    </button>
                                    <div class=""mobile-features collapse collapsible"" itemprop=""description""><ul>
  <li>Comfortable, easy to operate
  </li>
  <li>Patented, quiet and smooth lift system
  </li>
  <li>300 lbs. weight capacity
  </li>
  <li>Head and arm covers
  </li>
  <li>Integrated emergency battery backup
  </li>
  <li>Fire retardant (California Specifications; Bulletin 117)
  </li>
  <li>Heavy-duty scissor mechanism
  </li>
  <li>Single-switch hand control
  </li>
 
</ul></div>
                                ",/./images/1480687764-pride-tmr805.jpg,1139,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  Pride&#x2019;s LC-805 is a 2-position, space-saving lift chair that delivers superb comfort and style, and is the perfect lift chair for tighter quarters. Requiring only 4&#x201D; of space between the wall and the chair for reclining, the LC-805 lift chair provides wonderful relaxation, even when space is at a premium.
</p>
<p>
  This model also features foam-filled arms for added comfort and a chaise pad for enhanced leg support. In addition, the LC-805 lift chair offers a reduced seat-to-floor height for easy accessibility.
</p>
<p>
  All Pride life chairs have a standard 9 volt battery. If user&#x2019;s home has a power failure and user is in the reclining position, the battery will allow user to still get out of the chair.
</p></div>
                                ",0,999,Default,1,0,1,pride-lc-805-wall-hugger-lift-chair,pride-lc-805-wall-hugger-lift-chair.html,,Default Category,base,12/2/2016,12/2/2016,Product Info Column,0,0,,/./images/1480687764-pride-tmr805.jpg,/./images/1480687764-pride-tmr805.jpg,1,0,88,/./images/1480687764-pride-tmr805.jpg,1,0,,,,
Golden Capri PR-200 Lift ChairGolden Capri PR-200 Lift Chair,PR-CAPRIO,simple,4,Weel Cair,Golden Technologies,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  The Golden Capri PR-200 Lift Chair from Golden Technologies is a durable, reliable chair, featuring a maple hardwood frame, and double-doweled stress points that stand up to wears of everyday use. Built down to the smallest detail, this model is kiln dried and cut to precise angles to eliminate squeaking.
</p>
<p>
  Simply put, very few chairs in this price range can compare to the quality of the Capri. This two position recliner is equipped to give you years of the comfort and durability you expect from its manufacturer.
</p>
<p>
  Additional features include a standard button back and improved sag-resistant filler.
</p>
<p>
  <i>Optional &quot;White Glove&quot; delivery service available (includes in home setup)</i>
</p></div>
                                ","
        <h2>Specifications</h2>
                <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-specifications"">
            <span class=""glyphicon glyphicon-plus""></span>
        </button>
                <table class=""specifications mobile-specifications collapse collapsible"">
            
                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Weight Capacity</td>
                        <td class=""tdValue"">375 lbs.</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Seat Width</td>
                        <td class=""tdValue"">20&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Seat Depth</td>
                        <td class=""tdValue"">19&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Seat-to-Floor Height</td>
                        <td class=""tdValue"">18&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Overall Width</td>
                        <td class=""tdValue"">31&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Overall Length</td>
                        <td class=""tdValue"">35&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Overall Height</td>
                        <td class=""tdValue"">41&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Back Height</td>
                        <td class=""tdValue"">27&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Recommended User Height</td>
                        <td class=""tdValue"">5&apos;4&quot; - 5&apos;10&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Max Back Angle Reclined</td>
                        <td class=""tdValue"">135 degrees</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Required Distance From Wall</td>
                        <td class=""tdValue"">11&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Recline Type</td>
                        <td class=""tdValue"">Two Position</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Back Style</td>
                        <td class=""tdValue"">Button Back</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Chair Size</td>
                        <td class=""tdValue"">Medium</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Warranty on Frame</td>
                        <td class=""tdValue"">Lifetime Limited</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Warranty on Electronics</td>
                        <td class=""tdValue"">Four Year Limited</td>
                    </tr>
                                    </table>
    ","
                                    <h2>Features</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-features"">
                                        <span class=""glyphicon glyphicon-minus""></span>
                                    </button>
                                    <div class=""mobile-features collapse collapsible"" itemprop=""description""><ul>
  <li>Solid maple hardwood frame
  </li>
  <li>Kiln dried and cut to precise angles to eliminate squeaks
  </li>
  <li>Double doweling at stress points and reinforced miter blocks provide extra strength and durability
  </li>
  <li>Improved filler materials crafted to create comfortable seating and eliminate sagging
  </li>
  <li>Requires only a light touch to raise or lower the chair
  </li>
  <li>Two-way reclines to &quot;semi&quot; between napper position and straight sitting position
  </li>
  <li>With just a touch of a button, The Capri chair effortlessly raises you into a safe, secure standing position
  </li>
  <li>Made in the U.S.
  </li>
  <li>Free Shipping
  </li>
</ul></div>
                                ",/./images/1480687771-pr200capri_1.jpg,599,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  The Golden Capri PR-200 Lift Chair from Golden Technologies is a durable, reliable chair, featuring a maple hardwood frame, and double-doweled stress points that stand up to wears of everyday use. Built down to the smallest detail, this model is kiln dried and cut to precise angles to eliminate squeaking.
</p>
<p>
  Simply put, very few chairs in this price range can compare to the quality of the Capri. This two position recliner is equipped to give you years of the comfort and durability you expect from its manufacturer.
</p>
<p>
  Additional features include a standard button back and improved sag-resistant filler.
</p>
<p>
  <i>Optional &quot;White Glove&quot; delivery service available (includes in home setup)</i>
</p></div>
                                ",0,999,Default,1,0,1,golden-capri-pr-200-lift-chair,golden-capri-pr-200-lift-chair.html,,Default Category,base,12/2/2016,12/2/2016,Product Info Column,0,0,,/./images/1480687771-pr200capri_1.jpg,/./images/1480687771-pr200capri_1.jpg,1,0,88,/./images/1480687771-pr200capri_1.jpg,1,0,,,,
Pride LC-110 Essential Collection Lift ChairPride LC-110 Essential Collection Lift Chair,LC110O,simple,4,Weel Cair,Pride Mobility,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  Pride&apos;s Casual Line LC-10 Lift Chair delivers value and excellent comfort. Its smooth and quiet lift system and overstuffed fiber-filled back promote total relaxation, while its stylish, understated design blends with any living room&#x2019;s d&#xE9;cor.
</p>
<p>
  This model is well-built, reliable, and -- like all Pride lift chairs -- comes standard with a 9 volt battery. In the event of a power failure, the backup power source will kick in, allowing you to rise safely from any position.
</p></div>
                                ","
        <h2>Specifications</h2>
                <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-specifications"">
            <span class=""glyphicon glyphicon-plus""></span>
        </button>
                <table class=""specifications mobile-specifications collapse collapsible"">
            
                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Weight Capacity</td>
                        <td class=""tdValue"">325 lbs.</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Product Weight</td>
                        <td class=""tdValue"">110 lbs.</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Seat Width</td>
                        <td class=""tdValue"">20&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Seat Depth</td>
                        <td class=""tdValue"">20&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Seat-to-Floor Height</td>
                        <td class=""tdValue"">18&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Overall Width</td>
                        <td class=""tdValue"">33.5&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Overall Length</td>
                        <td class=""tdValue"">35&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Overall Height</td>
                        <td class=""tdValue"">41&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Back Height</td>
                        <td class=""tdValue"">24.5&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Recommended User Height</td>
                        <td class=""tdValue"">5&apos;2&quot; - 5&apos;10&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Max Back Angle Reclined</td>
                        <td class=""tdValue"">135 degrees</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Required Distance From Wall</td>
                        <td class=""tdValue"">18&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Recline Type</td>
                        <td class=""tdValue"">Two Position</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Back Style</td>
                        <td class=""tdValue"">Button Back</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Chair Size</td>
                        <td class=""tdValue"">Medium</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Warranty on Frame</td>
                        <td class=""tdValue"">Lifetime Limited</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Warranty on Electronics</td>
                        <td class=""tdValue"">Three Year Limited</td>
                    </tr>
                                    </table>
    ","
                                    <h2>Features</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-features"">
                                        <span class=""glyphicon glyphicon-minus""></span>
                                    </button>
                                    <div class=""mobile-features collapse collapsible"" itemprop=""description""><ul>
  <li>Patented, quiet &amp; smooth lift system
  </li>
  <li>Overstuffed blown fiber-filled back for comfort &amp; support
  </li>
  <li>Integrated battery backup in case of power failure
  </li>
  <li>Heavy-duty lift actuator
  </li>
  <li>CSA approved
  </li>
  
</ul></div>
                                ",/./images/1480687773-pride-cl10-moss.jpg,599,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  Pride&apos;s Casual Line LC-10 Lift Chair delivers value and excellent comfort. Its smooth and quiet lift system and overstuffed fiber-filled back promote total relaxation, while its stylish, understated design blends with any living room&#x2019;s d&#xE9;cor.
</p>
<p>
  This model is well-built, reliable, and -- like all Pride lift chairs -- comes standard with a 9 volt battery. In the event of a power failure, the backup power source will kick in, allowing you to rise safely from any position.
</p></div>
                                ",0,999,Default,1,0,1,pride-lc-10-classic-collection-lift-chair,pride-lc-10-classic-collection-lift-chair.html,,Default Category,base,12/2/2016,12/2/2016,Product Info Column,0,0,,/./images/1480687773-pride-cl10-moss.jpg,/./images/1480687773-pride-cl10-moss.jpg,1,0,88,/./images/1480687773-pride-cl10-moss.jpg,1,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/./images/1480687773-pride-cl10-chestnut.jpg,2,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/./images/1480687773-pride-cl10-1.jpg,3,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/./images/1480687773-pride-cl10-2.jpg,4,0,,,,
Pride LC-220 Classic Collection Lift ChairPride LC-220 Classic Collection Lift Chair,LC220O,simple,4,Weel Cair,Pride Mobility,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  The LC-220 is a 2 position, medium to large size lift chair recliner with sewn-back design and a patented smooth and quiet lift system. An overstuffed fiber-filled pillow back provides comfort and support, while a left side hand control and pocket for storage makes operation easy. Optional head and lumbar support pillows are available, as well as an integrated heat and massage unit for ultimate relaxation.
</p>
<p>
  All Pride life chairs have a standard 9 volt battery. If user&#x2019;s home has a power failure and user is in the reclining position, the battery will allow user to still get out of the chair.
</p></div>
                                ","
        <h2>Specifications</h2>
                <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-specifications"">
            <span class=""glyphicon glyphicon-plus""></span>
        </button>
                <table class=""specifications mobile-specifications collapse collapsible"">
            
                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Weight Capacity</td>
                        <td class=""tdValue"">375 lbs.</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Product Weight</td>
                        <td class=""tdValue"">114 lbs.</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Seat Width</td>
                        <td class=""tdValue"">20&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Seat Depth</td>
                        <td class=""tdValue"">20&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Seat-to-Floor Height</td>
                        <td class=""tdValue"">18&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Overall Width</td>
                        <td class=""tdValue"">32.5&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Overall Length</td>
                        <td class=""tdValue"">35&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Overall Height</td>
                        <td class=""tdValue"">41&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Back Height</td>
                        <td class=""tdValue"">24.5&quot;</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Recommended User Height</td>
                        <td class=""tdValue"">5&apos;4&quot; - 6&apos;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Max Back Angle Reclined</td>
                        <td class=""tdValue"">135 degrees</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Required Distance From Wall</td>
                        <td class=""tdValue"">11&quot;</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Recline Type</td>
                        <td class=""tdValue"">Two Position</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Back Style</td>
                        <td class=""tdValue"">Pillow Back</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Chair Size</td>
                        <td class=""tdValue"">Medium</td>
                    </tr>
                                                                                <tr class=""white"">
                        <td class=""tdLabel"">Warranty on Frame</td>
                        <td class=""tdValue"">Lifetime Limited</td>
                    </tr>
                                                                                <tr class=""blue"">
                        <td class=""tdLabel"">Warranty on Electronics</td>
                        <td class=""tdValue"">Two Year Limited</td>
                    </tr>
                                    </table>
    ","
                                    <h2>Features</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-features"">
                                        <span class=""glyphicon glyphicon-minus""></span>
                                    </button>
                                    <div class=""mobile-features collapse collapsible"" itemprop=""description""><ul>
  <li>Patented, smooth &amp; quiet lift system
  </li>
  <li>375 lbs. weight capacity
  </li>
  <li>Arm covers protect the chair
  </li>
  <li>Two-year limited warranty
  </li>
  <li>Fiber-filled overstuffed back provides comfort &amp; support
  </li>
  <li>In case of power failure, chair has integrated battery backup
  </li>
  <li>Fabric protection provides added stain resistance and durability
  </li>
  <li>Left side hand control and side pocket makes operation easy
  </li>
  <li>Optional head and lumbar pillows can provide extra comfort and support
  </li>
  <li>Optional heat and massage for maximum relaxation
  </li>
</ul></div>
                                ",/./images/1480687773-c20-marine-lifted.jpg,729,"
                                    <h2>Description</h2>
                                    <button class=""nav-button collapsed navbar-toggle"" type=""button"" data-toggle=""collapse"" data-target="".mobile-description"">
                                        <span class=""glyphicon glyphicon-plus""></span>
                                    </button>
                                    <div class=""mobile-description collapse collapsible"" itemprop=""description""><p>
  The LC-220 is a 2 position, medium to large size lift chair recliner with sewn-back design and a patented smooth and quiet lift system. An overstuffed fiber-filled pillow back provides comfort and support, while a left side hand control and pocket for storage makes operation easy. Optional head and lumbar support pillows are available, as well as an integrated heat and massage unit for ultimate relaxation.
</p>
<p>
  All Pride life chairs have a standard 9 volt battery. If user&#x2019;s home has a power failure and user is in the reclining position, the battery will allow user to still get out of the chair.
</p></div>
                                ",0,999,Default,1,0,1,pride-lc-20-classic-collection-lift-chair,pride-lc-20-classic-collection-lift-chair.html,,Default Category,base,12/2/2016,12/2/2016,Product Info Column,0,0,,/./images/1480687773-c20-marine-lifted.jpg,/./images/1480687773-c20-marine-lifted.jpg,1,0,88,/./images/1480687773-c20-marine-lifted.jpg,1,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/./images/1480687773-cl20-taupe.jpg,2,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/./images/1480687773-cl20-taupe-seated.jpg,3,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/./images/1480687773-cl20-taupe-reading.jpg,4,0,,,,
